Date,Replication,Time,Cultivar,Inoculum,Nodules,LogNod,,
,,,,,,,,
options nodate nocenter;,,,,,,,,
data Root;,,,,,,,,
input Date$ Block Time Cul Rhizob$ Nodule LogNod;,,,,,,,,
cards;,,,,,,,,
Date,Replication,Time,Cultivar,Inoculum,Nodules,LogNod,sqrtNod,pot
Aug'15,1,1,3233,WT,12.00,1.113943352,3.464101615,1
Aug'15,2,1,3233,WT,11.00,1.079181246,3.31662479,2
Aug'15,3,1,3233,WT,13.00,1.146128036,3.605551275,3
Aug'15,4,1,3233,WT,11.00,1.079181246,3.31662479,4
Aug'15,5,1,3233,WT,17.00,1.255272505,4.123105626,5
Aug'15,6,1,3233,WT,14.00,1.176091259,3.741657387,6
Aug'15,7,1,3233,WT,21.00,1.342422681,4.582575695,7
Aug'15,8,1,3233,WT,5.00,0.77815125,2.236067977,8
Aug'15,1,1,3233,VirF,10.00,1.041392685,3.16227766,9
Aug'15,2,1,3233,VirF,13.00,1.146128036,3.605551275,10
Aug'15,3,1,3233,VirF,11.00,1.079181246,3.31662479,11
Aug'15,4,1,3233,VirF,20.00,1.322219295,4.472135955,12
Aug'15,5,1,3233,VirF,18.00,1.278753601,4.242640687,13
Aug'15,6,1,3233,VirF,8.00,0.954242509,2.828427125,14
Aug'15,7,1,3233,VirF,7.00,0.903089987,2.645751311,15
Aug'15,1,1,3233,Control,8.00,0.954242509,2.828427125,16
Aug'15,2,1,3233,Control,2.00,0.477121255,1.414213562,17
Aug'15,3,1,3233,Control,0.00,0,0,18
Aug'15,4,1,3233,Control,35.00,1.556302501,5.916079783,19
Aug'15,5,1,3233,Control,11.00,1.079181246,3.31662479,20
Aug'15,6,1,3233,Control,2.00,0.477121255,1.414213562,21
Aug'15,7,1,3233,Control,8.00,0.954242509,2.828427125,22
Aug'15,8,1,3233,Control,8.00,0.954242509,2.828427125,23
Aug'15,1,1,3234,WT,11.00,1.079181246,3.31662479,24
Aug'15,2,1,3234,WT,15.00,1.204119983,3.872983346,25
Aug'15,3,1,3234,WT,4.00,0.698970004,2,26
Aug'15,4,1,3234,WT,6.00,0.84509804,2.449489743,27
Aug'15,5,1,3234,WT,13.00,1.146128036,3.605551275,28
Aug'15,6,1,3234,WT,10.00,1.041392685,3.16227766,29
Aug'15,7,1,3234,WT,10.00,1.041392685,3.16227766,30
Aug'15,1,1,3234,VirF,3.00,0.602059991,1.732050808,31
Aug'15,2,1,3234,VirF,14.00,1.176091259,3.741657387,32
Aug'15,3,1,3234,VirF,8.00,0.954242509,2.828427125,33
Aug'15,4,1,3234,VirF,4.00,0.698970004,2,34
Aug'15,5,1,3234,VirF,9.00,1,3,35
Aug'15,6,1,3234,VirF,4.00,0.698970004,2,36
Aug'15,1,1,3234,Control,19.00,1.301029996,4.358898944,37
Aug'15,2,1,3234,Control,8.00,0.954242509,2.828427125,38
Aug'15,3,1,3234,Control,2.00,0.477121255,1.414213562,39
Aug'15,4,1,3234,Control,0.00,0,0,40
Aug'15,5,1,3234,Control,1.00,0.301029996,1,41
Aug'15,6,1,3234,Control,8.00,0.954242509,2.828427125,42
Aug'15,7,1,3234,Control,0.00,0,0,43
May'16,1,2,3233,WT,34.00,1.544068044,5.830951895,44
May'16,2,2,3233,WT,27.00,1.447158031,5.196152423,45
May'16,3,2,3233,WT,36.00,1.568201724,6,46
May'16,4,2,3233,WT,40.00,1.612783857,6.32455532,47
May'16,5,2,3233,WT,63.00,1.806179974,7.937253933,48
May'16,6,2,3233,WT,41.00,1.62324929,6.403124237,49
May'16,7,2,3233,WT,23.00,1.380211242,4.795831523,50
May'16,8,2,3233,WT,47.00,1.681241237,6.8556546,51
May'16,1,2,3233,VirF,34.00,1.544068044,5.830951895,52
May'16,2,2,3233,VirF,30.00,1.491361694,5.477225575,53
May'16,3,2,3233,VirF,9.00,1,3,54
May'16,4,2,3233,VirF,50.00,1.707570176,7.071067812,55
May'16,5,2,3233,VirF,32.00,1.51851394,5.656854249,56
May'16,6,2,3233,VirF,62.00,1.799340549,7.874007874,57
May'16,7,2,3233,VirF,78.00,1.897627091,8.831760866,58
May'16,8,2,3233,VirF,36.00,1.568201724,6,59
May'16,1,2,3233,Control,13.00,1.146128036,3.605551275,60
May'16,2,2,3233,Control,25.00,1.414973348,5,61
May'16,3,2,3233,Control,30.00,1.491361694,5.477225575,62
May'16,4,2,3233,Control,15.00,1.204119983,3.872983346,63
May'16,5,2,3233,Control,24.00,1.397940009,4.898979486,64
May'16,6,2,3233,Control,14.00,1.176091259,3.741657387,65
May'16,7,2,3233,Control,23.00,1.380211242,4.795831523,66
May'16,8,2,3233,Control,4.00,0.698970004,2,67
May'16,1,2,3234,WT,46.00,1.672097858,6.782329983,68
May'16,2,2,3234,WT,33.00,1.531478917,5.744562647,69
May'16,3,2,3234,WT,28.00,1.462397998,5.291502622,70
May'16,4,2,3234,WT,30.00,1.491361694,5.477225575,71
May'16,5,2,3234,WT,43.00,1.643452676,6.557438524,72
May'16,6,2,3234,WT,31.00,1.505149978,5.567764363,73
May'16,7,2,3234,WT,18.00,1.278753601,4.242640687,74
May'16,8,2,3234,WT,38.00,1.591064607,6.164414003,75
May'16,1,2,3234,VirF,26.00,1.431363764,5.099019514,76
May'16,2,2,3234,VirF,39.00,1.602059991,6.244997998,77
May'16,3,2,3234,VirF,47.00,1.681241237,6.8556546,78
May'16,4,2,3234,VirF,33.00,1.531478917,5.744562647,79
May'16,5,2,3234,VirF,36.00,1.568201724,6,80
May'16,6,2,3234,VirF,14.00,1.176091259,3.741657387,81
May'16,7,2,3234,VirF,50.00,1.707570176,7.071067812,82
May'16,8,2,3234,VirF,38.00,1.591064607,6.164414003,83
May'16,1,2,3234,Control,21.00,1.342422681,4.582575695,84
May'16,2,2,3234,Control,29.00,1.477121255,5.385164807,85
May'16,3,2,3234,Control,12.00,1.113943352,3.464101615,86
May'16,4,2,3234,Control,3.00,0.602059991,1.732050808,87
May'16,5,2,3234,Control,5.00,0.77815125,2.236067977,88
May'16,6,2,3234,Control,18.00,1.278753601,4.242640687,89
May'16,7,2,3234,Control,22.00,1.361727836,4.69041576,90
May'16,8,2,3234,Control,21.00,1.342422681,4.582575695,91
Sept'16,1,3,3233,WT,14.00,1.176091259,3.741657387,92
Sept'16,2,3,3233,WT,20.00,1.322219295,4.472135955,93
Sept'16,3,3,3233,WT,39.00,1.602059991,6.244997998,94
Sept'16,4,3,3233,WT,21.00,1.342422681,4.582575695,95
Sept'16,5,3,3233,WT,18.00,1.278753601,4.242640687,96
Sept'16,6,3,3233,WT,15.00,1.204119983,3.872983346,97
Sept'16,7,3,3233,WT,13.00,1.146128036,3.605551275,98
Sept'16,8,3,3233,WT,1.00,0.301029996,1,99
Sept'16,1,3,3233,VirF,27.00,1.447158031,5.196152423,100
Sept'16,2,3,3233,VirF,18.00,1.278753601,4.242640687,101
Sept'16,3,3,3233,VirF,14.00,1.176091259,3.741657387,102
Sept'16,4,3,3233,VirF,16.00,1.230448921,4,103
Sept'16,5,3,3233,VirF,18.00,1.278753601,4.242640687,104
Sept'16,6,3,3233,VirF,39.00,1.602059991,6.244997998,105
Sept'16,7,3,3233,VirF,47.00,1.681241237,6.8556546,106
Sept'16,8,3,3233,VirF,16.00,1.230448921,4,107
Sept'16,1,3,3233,Control,8.00,0.954242509,2.828427125,108
Sept'16,2,3,3233,Control,21.00,1.342422681,4.582575695,109
Sept'16,3,3,3233,Control,8.00,0.954242509,2.828427125,110
Sept'16,4,3,3233,Control,17.00,1.255272505,4.123105626,111
Sept'16,5,3,3233,Control,10.00,1.041392685,3.16227766,112
Sept'16,6,3,3233,Control,11.00,1.079181246,3.31662479,113
Sept'16,7,3,3233,Control,7.00,0.903089987,2.645751311,114
Sept'16,8,3,3233,Control,8.00,0.954242509,2.828427125,115
Sept'16,1,3,3234,WT,19.00,1.301029996,4.358898944,116
Sept'16,2,3,3234,WT,20.00,1.322219295,4.472135955,117
Sept'16,3,3,3234,WT,38.00,1.591064607,6.164414003,118
Sept'16,4,3,3234,WT,14.00,1.176091259,3.741657387,119
Sept'16,5,3,3234,WT,23.00,1.380211242,4.795831523,120
Sept'16,6,3,3234,WT,17.00,1.255272505,4.123105626,121
Sept'16,7,3,3234,WT,10.00,1.041392685,3.16227766,122
Sept'16,1,3,3234,VirF,13.00,1.146128036,3.605551275,123
Sept'16,2,3,3234,VirF,16.00,1.230448921,4,124
Sept'16,3,3,3234,VirF,24.00,1.397940009,4.898979486,125
Sept'16,4,3,3234,VirF,14.00,1.176091259,3.741657387,126
Sept'16,5,3,3234,VirF,25.00,1.414973348,5,127
Sept'16,6,3,3234,VirF,17.00,1.255272505,4.123105626,128
Sept'16,7,3,3234,VirF,15.00,1.204119983,3.872983346,129
Sept'16,8,3,3234,VirF,0.00,0,0,130
Sept'16,1,3,3234,Control,10.00,1.041392685,3.16227766,131
Sept'16,2,3,3234,Control,22.00,1.361727836,4.69041576,132
Sept'16,3,3,3234,Control,4.00,0.698970004,2,133
Sept'16,4,3,3234,Control,6.00,0.84509804,2.449489743,134
Sept'16,5,3,3234,Control,10.00,1.041392685,3.16227766,135
Sept'16,6,3,3234,Control,7.00,0.903089987,2.645751311,136
Sept'16,7,3,3234,Control,24.00,1.397940009,4.898979486,137
Sept'16,8,3,3234,Control,4.00,0.698970004,2,138
